date, time, open, high, low, close, volume, currency
2018.08.12,11:25,6320.07000000,6326.29000000,6318.00000000,6318.92000000,89.97751800,BTCUSDT
2018.08.12,11:30,6319.70000000,6320.99000000,6310.44000000,6313.02000000,52.39385300,BTCUSDT
2018.08.12,11:35,6309.81000000,6312.71000000,6304.23000000,6312.65000000,35.03015900,BTCUSDT
2018.08.12,11:40,6314.47000000,6340.00000000,6314.47000000,6334.98000000,77.61646800,BTCUSDT
2018.08.12,11:45,6330.71000000,6337.00000000,6326.69000000,6329.48000000,84.19707100,BTCUSDT
2018.08.12,11:50,6329.90000000,6341.55000000,6326.83000000,6335.46000000,63.13376400,BTCUSDT
2018.08.12,11:55,6335.46000000,6374.29000000,6332.70000000,6351.86000000,261.46395300,BTCUSDT
2018.08.12,12:00,6349.21000000,6366.91000000,6316.06000000,6329.09000000,321.32186800,BTCUSDT
2018.08.12,12:05,6328.44000000,6330.00000000,6310.00000000,6329.52000000,188.34612400,BTCUSDT
2018.08.12,12:10,6326.01000000,6330.00000000,6318.82000000,6324.03000000,69.49725400,BTCUSDT
2018.08.12,12:15,6327.17000000,6328.81000000,6308.05000000,6310.01000000,83.12789400,BTCUSDT
2018.08.12,12:20,6310.00000000,6330.65000000,6308.09000000,6319.25000000,75.87678600,BTCUSDT
2018.08.12,12:25,6320.00000000,6321.99000000,6309.53000000,6315.04000000,135.15131500,BTCUSDT
2018.08.12,12:30,6312.35000000,6318.99000000,6309.60000000,6315.51000000,77.68467200,BTCUSDT
2018.08.12,12:35,6315.01000000,6315.51000000,6305.00000000,6314.67000000,45.50778500,BTCUSDT
2018.08.12,12:40,6321.12000000,6321.48000000,6315.60000000,6315.85000000,9.48164600,BTCUSDT
2018.08.12,12:45,6315.61000000,6317.54000000,6266.00000000,6268.99000000,118.80309300,BTCUSDT
2018.08.12,12:50,6202.59000000,6239.01000000,6188.00000000,6222.23000000,169.68052400,BTCUSDT
2018.08.12,12:55,6228.98000000,6256.15000000,6228.98000000,6254.61000000,63.82294600,BTCUSDT
2018.08.12,13:00,6260.01000000,6263.97000000,6234.10000000,6246.27000000,65.66279000,BTCUSDT
